Date,Open*,High,Low,Close**,Volume,Market Cap
31-Dec-20,$737.71 ,$749.20 ,$719.79 ,$730.37 ,"$13,652,004,358 ","$83,318,539,689 "
30-Dec-20,$751.63 ,$754.30 ,$726.51 ,$737.80 ,"$13,926,846,861 ","$84,156,810,765 "
29-Dec-20,$731.47 ,$754.30 ,$720.99 ,$751.62 ,"$17,294,574,210 ","$85,722,581,849 "
28-Dec-20,$730.36 ,$737.95 ,$692.15 ,$731.52 ,"$18,710,683,199 ","$83,420,334,909 "
27-Dec-20,$683.21 ,$745.88 ,$683.21 ,$730.40 ,"$24,222,565,862 ","$83,282,601,745 "
26-Dec-20,$635.89 ,$711.39 ,$628.33 ,$682.64 ,"$26,093,552,821 ","$77,828,069,141 "
25-Dec-20,$626.50 ,$650.72 ,$617.40 ,$635.84 ,"$14,761,125,202 ","$72,483,025,275 "
24-Dec-20,$611.55 ,$633.06 ,$605.42 ,$626.41 ,"$13,520,927,700 ","$71,400,061,460 "
23-Dec-20,$584.14 ,$613.82 ,$568.60 ,$611.61 ,"$14,317,413,703 ","$69,704,465,560 "
22-Dec-20,$634.82 ,$637.12 ,$560.36 ,$583.71 ,"$15,261,413,038 ","$66,517,758,494 "
21-Dec-20,$609.42 ,$635.08 ,$589.55 ,$634.85 ,"$14,745,890,080 ","$72,336,758,960 "
20-Dec-20,$638.32 ,$646.85 ,$600.84 ,$609.82 ,"$14,419,493,621 ","$69,475,834,115 "
19-Dec-20,$659.19 ,$659.92 ,$625.01 ,$638.29 ,"$13,375,855,442 ","$72,711,065,645 "
18-Dec-20,$654.62 ,$668.77 ,$646.62 ,$659.30 ,"$12,830,893,778 ","$75,095,087,629 "
17-Dec-20,$642.92 ,$662.70 ,$632.36 ,$654.81 ,"$15,756,303,983 ","$74,575,304,995 "
16-Dec-20,$636.15 ,$673.83 ,$628.75 ,$642.87 ,"$25,479,532,147 ","$73,206,412,681 "
15-Dec-20,$589.38 ,$636.64 ,$582.04 ,$636.18 ,"$15,817,248,373 ","$72,436,347,872 "
14-Dec-20,$586.02 ,$596.25 ,$580.63 ,$589.36 ,"$9,326,645,840 ","$67,096,668,322 "
13-Dec-20,$589.78 ,$590.49 ,$577.12 ,$586.01 ,"$8,125,837,102 ","$66,708,003,325 "
12-Dec-20,$568.61 ,$593.78 ,$564.57 ,$589.66 ,"$9,070,377,862 ","$67,115,726,662 "
11-Dec-20,$545.58 ,$573.34 ,$545.25 ,$568.57 ,"$8,534,557,897 ","$64,706,942,226 "
10-Dec-20,$559.68 ,$560.38 ,$537.81 ,$545.80 ,"$11,098,819,124 ","$62,108,208,317 "
9-Dec-20,$573.50 ,$574.60 ,$549.78 ,$559.68 ,"$11,672,582,040 ","$63,680,254,165 "
8-Dec-20,$554.79 ,$577.29 ,$533.00 ,$573.48 ,"$15,855,915,840 ","$65,242,758,700 "
7-Dec-20,$591.90 ,$594.75 ,$552.47 ,$554.83 ,"$14,398,919,320 ","$63,113,292,237 "
6-Dec-20,$601.80 ,$602.92 ,$585.43 ,$591.84 ,"$10,720,480,962 ","$67,315,962,016 "
5-Dec-20,$596.57 ,$606.79 ,$584.41 ,$601.91 ,"$11,290,893,016 ","$68,452,719,868 "
4-Dec-20,$569.35 ,$596.60 ,$563.11 ,$596.60 ,"$13,498,010,566 ","$67,840,334,209 "
3-Dec-20,$616.72 ,$618.98 ,$569.28 ,$569.35 ,"$16,337,589,997 ","$64,734,997,135 "
2-Dec-20,$598.46 ,$622.45 ,$588.35 ,$616.71 ,"$16,146,190,946 ","$70,110,808,538 "
1-Dec-20,$587.26 ,$604.02 ,$578.74 ,$598.35 ,"$16,883,292,129 ","$68,015,797,685 "
30-Nov-20,$615.07 ,$635.16 ,$571.75 ,$587.32 ,"$27,178,964,465 ","$66,754,367,842 "
29-Nov-20,$575.76 ,$615.24 ,$571.54 ,$614.84 ,"$20,276,867,833 ","$69,873,714,778 "
28-Nov-20,$538.26 ,$576.60 ,$531.99 ,$575.76 ,"$15,017,517,758 ","$65,424,084,296 "
27-Nov-20,$517.60 ,$548.04 ,$508.13 ,$538.23 ,"$14,770,243,833 ","$61,152,393,529 "
26-Nov-20,$519.11 ,$530.78 ,$497.24 ,$517.49 ,"$16,831,105,703 ","$58,789,344,389 "
25-Nov-20,$570.51 ,$575.64 ,$485.50 ,$518.80 ,"$31,104,004,592 ","$58,930,920,929 "
24-Nov-20,$603.90 ,$605.09 ,$559.67 ,$570.69 ,"$20,088,492,893 ","$64,816,875,593 "
23-Nov-20,$608.52 ,$621.17 ,$593.84 ,$603.90 ,"$23,281,758,100 ","$68,580,780,139 "
22-Nov-20,$558.06 ,$609.99 ,$551.27 ,$608.45 ,"$27,272,302,872 ","$69,089,845,802 "
21-Nov-20,$549.49 ,$579.37 ,$514.52 ,$558.07 ,"$21,967,049,601 ","$63,361,036,975 "
20-Nov-20,$509.74 ,$550.23 ,$504.24 ,$549.49 ,"$20,757,099,184 ","$62,379,287,099 "
19-Nov-20,$471.63 ,$513.61 ,$471.63 ,$509.74 ,"$18,629,943,296 ","$57,860,686,204 "
18-Nov-20,$479.48 ,$480.12 ,$465.70 ,$471.63 ,"$12,473,929,218 ","$53,528,035,617 "
17-Nov-20,$480.35 ,$492.00 ,$465.83 ,$479.48 ,"$17,880,199,224 ","$54,412,825,617 "
16-Nov-20,$464.41 ,$482.23 ,$460.78 ,$480.36 ,"$14,593,057,877 ","$54,505,786,216 "
15-Nov-20,$447.56 ,$463.83 ,$445.50 ,$459.94 ,"$11,441,239,444 ","$52,182,517,297 "
14-Nov-20,$460.15 ,$460.99 ,$440.25 ,$447.56 ,"$10,308,617,165 ","$50,771,836,456 "
13-Nov-20,$474.63 ,$475.16 ,$452.99 ,$460.15 ,"$10,312,037,942 ","$52,193,800,907 "
12-Nov-20,$461.01 ,$475.22 ,$457.30 ,$474.63 ,"$13,191,505,725 ","$53,829,432,990 "
11-Nov-20,$462.96 ,$467.68 ,$452.07 ,$461.01 ,"$12,877,327,234 ","$52,278,353,038 "
10-Nov-20,$449.68 ,$473.58 ,$449.52 ,$462.96 ,"$14,075,403,511 ","$52,493,805,532 "
9-Nov-20,$444.17 ,$453.76 ,$439.60 ,$449.68 ,"$12,090,381,666 ","$50,981,825,542 "
8-Nov-20,$453.57 ,$457.35 ,$435.16 ,$444.16 ,"$13,704,320,630 ","$50,350,406,402 "
7-Nov-20,$435.72 ,$457.78 ,$433.15 ,$453.55 ,"$11,292,383,601 ","$51,408,911,250 "
