Genre,Progress,Score,Mastery,Category
Algebra,6.0,9.2,0.44,Academic
Geometry,4.5,8.0,0.27,Academic
Cosmology,7.0,9.0,0.30,Extracurricular
Scratch,3.0,6.0,0.35,Skill
Statistics and Probability,0,3,0.1,Academic
Chinese History,5.5,8.0,3.5,Academic
US History,0,5.0,0.15,Academic
World History,0,5.0,0.15,Academic
Chess,2.0,5,0.15,Game
Computer,7.0,9,0.5,Skill
Chinese Reading,6.5,8.5,0.3,Academic
English Reading,7.5,9,0.35,Academic
Trigonometry,0,2,0.05,Academic
Piano,8.0,8.5,0.35,Extracurricular
Skating,7.0,9.0,0.45,Extracurricular
Dancing,8.0,8.8,0.3,Extracurricular
Singing,0,6.5,0.2,Extracurricular
Writing,4.0,7.5,0.3,Academic
Hosting,5.0,8.5,0.5,Skill
Leadership,1.0,7,0.05,Skill
Perseverance,5.0,8.5,0.7,Personality
Temper,3.5,3.5,0.5,Personality
Passion,6.0,8.5,0.4,Personality
Scooting,9.0,9.5,0.9,Game
Running,3.0,8.5,0.75,Healthy
Sleeping,6.0,6.5,0.55,Healthy
Early-birding,6.5,7.5,0.6,Healthy
Good manner,7,7.5,0.65,Personality
Listen Respectfully,4.5,5.0,0.3,Personality
Creativity,7,8.5,0.7,Personality
Curiosity,7.5,8.0,0.65,Personality
Chinese,3,7,0.3,Extracurricular
English,6,8.5,0.6,Academic
Spanish,2,8,0.1,Extracurricular
Drawing,7,8.2,0.6,Extracurricular
